"X1","X2","X3","X4","X5","cus_id"
3,3,2,3,1,"109693"
5,4,5,5,5,"169587"
7,6,6,7,7,"189709"
5,3,5,6,6,"299749"
2,2,2,2,2,"339665"
3,3,3,3,3,"339918"
1,1,1,1,1,"349530"
1,1,1,1,1,"369985"
3,2,3,3,2,"389613"
9,5,7,7,8,"499639"
4,3,8,4,5,"529915"
7,9,7,7,5,"589766"
2,2,4,3,3,"749556"
5,5,6,5,7,"819895"
6,5,6,6,6,"869947"
5,6,4,6,6,"899987"
5,2,2,2,2,"909794"
3,4,4,4,4,"949967"
8,7,7,7,7,"969825"
7,8,7,12,7,"969975"
3,3,3,3,3,"1039647"
3,3,3,3,3,"1049570"
2,2,2,2,2,"1069886"
2,3,3,3,3,"1109884"
4,3,6,7,8,"1129755"
2,2,2,2,2,"1139567"
6,6,6,8,8,"1139738"
3,7,6,7,9,"1219886"
39,38,39,44,44,"1249927"
1,1,1,1,1,"1289567"
8,9,10,8,5,"1369925"
4,5,4,5,5,"1409661"
6,6,5,6,5,"1429948"
6,5,5,5,5,"1499909"
3,2,2,4,1,"1529898"
2,2,2,2,2,"1579841"
5,4,4,4,4,"1609678"
4,3,3,3,3,"1659549"
4,4,4,4,4,"1710000"
2,1,1,1,1,"1879807"
5,5,5,4,5,"1889991"
3,4,6,5,6,"1899550"
1,1,1,2,1,"1999671"
1,1,1,1,1,"2009681"
2,2,2,2,2,"2039621"
2,2,2,1,2,"2059893"
1,2,2,1,2,"2239835"
3,3,3,2,3,"2249699"
2,2,2,2,1,"2259776"
3,4,4,3,3,"2259992"
3,2,2,2,2,"2269804"
4,3,4,3,1,"2339637"
6,2,2,1,1,"2409947"
9,32,13,4,4,"2639965"
1,2,1,1,1,"2689758"
5,5,5,6,4,"2809951"
7,6,7,7,6,"2839651"
3,3,3,2,3,"2969905"
3,2,2,2,2,"3169944"
3,2,4,4,2,"3179779"
4,3,5,4,6,"3189829"
3,3,3,3,3,"3229801"
3,3,3,3,3,"3299585"
2,2,3,2,2,"3349948"
4,4,3,3,3,"3369877"
5,6,5,5,6,"3389801"
6,5,6,6,6,"3409828"
5,5,5,4,5,"3419797"
3,3,2,3,3,"3489804"
4,4,4,5,5,"3489945"
4,2,3,4,3,"3509691"
3,3,4,3,3,"3509800"
3,1,3,1,3,"3519981"
6,6,6,5,6,"3529748"
6,4,3,2,6,"3629797"
2,2,2,2,2,"3689897"
2,2,3,6,4,"3709783"
4,6,6,6,5,"3709984"
4,4,4,4,4,"3759797"
2,4,3,3,4,"3849717"
2,1,1,2,2,"3869942"
2,3,2,2,2,"3989575"
3,3,3,4,3,"4019679"
4,3,4,3,3,"4029695"
5,4,4,4,4,"4069735"
9,8,7,6,8,"4239950"
2,3,5,5,4,"4309605"
3,4,3,3,3,"4319967"
8,5,2,1,2,"4369928"
3,2,2,2,2,"4369949"
3,4,4,4,4,"4419627"
2,2,2,2,2,"4459951"
10,19,11,18,5,"4509747"
4,3,4,3,4,"4529875"
6,6,5,5,4,"4559994"
4,4,4,4,4,"4569688"
3,2,3,3,2,"4589586"
5,5,4,6,5,"4589591"
9,8,9,9,8,"4609812"
6,5,6,6,7,"4669939"
2,4,4,4,4,"4679726"
4,4,4,5,4,"4689635"
9,11,11,11,11,"4719570"
4,5,2,2,3,"4779570"
4,4,4,7,5,"4899809"
3,3,3,3,3,"5009580"
2,2,2,2,2,"5119801"
3,3,3,3,4,"5139925"
5,6,5,5,5,"5149765"
3,3,3,3,3,"5149889"
6,4,4,4,4,"5189621"
1,1,1,1,1,"5199595"
3,3,4,3,3,"5209899"
4,4,5,4,4,"5239934"
2,2,2,2,1,"5389896"
1,2,4,1,5,"5639825"
5,4,4,4,4,"5649867"
3,3,4,4,4,"5649957"
3,2,3,3,2,"5729916"
2,3,2,6,10,"5959780"
2,5,4,3,4,"5989664"
5,5,5,5,6,"6039822"
2,2,2,2,2,"6079731"
4,4,5,2,2,"6369940"
1,1,1,1,1,"6409834"
2,1,1,2,2,"6419582"
4,1,3,3,4,"6599812"
1,1,2,1,1,"6619659"
4,4,4,4,4,"6659815"
3,3,3,3,3,"6679813"
2,2,2,2,2,"6729743"
4,4,4,5,4,"6739641"
2,2,3,3,3,"6789802"
2,2,2,2,3,"6799676"
2,2,2,2,1,"6809659"
3,3,3,3,3,"6839952"
1,2,2,2,2,"6859923"
2,2,2,1,2,"6899618"
2,2,2,2,1,"7039904"
1,1,2,2,1,"7079973"
6,3,5,6,3,"7119898"
5,5,2,2,2,"7119955"
3,4,3,4,1,"7129976"
1,1,1,1,1,"7139796"
3,3,4,3,3,"7269949"
6,4,7,1,1,"7349772"
2,2,2,2,3,"7389730"
2,2,2,1,2,"7409778"
8,6,6,7,9,"7569890"
10,3,8,8,9,"7629630"
5,5,5,3,1,"7679874"
3,3,3,6,3,"7719577"
3,3,3,2,3,"7729784"
3,3,3,3,2,"7729819"
3,4,3,3,3,"7739787"
8,8,7,7,8,"7819901"
7,8,8,9,10,"7859980"
6,8,9,9,10,"7869549"
4,4,4,4,7,"7919932"
4,5,4,5,4,"7989981"
3,3,3,3,3,"8039647"
2,2,2,2,3,"8049900"
5,5,2,2,2,"8169802"
4,4,4,4,4,"8189540"
3,2,3,2,2,"8209651"
6,9,3,3,3,"8209801"
10,7,7,7,6,"8209843"
2,2,3,2,3,"8219704"
3,3,3,3,3,"8229636"
2,2,2,2,3,"8259629"
5,8,5,4,4,"8309990"
2,2,2,2,2,"8449971"
4,3,3,4,2,"8679834"
2,2,2,5,6,"8679838"
3,1,1,1,2,"8719935"
3,5,4,5,4,"8839585"
3,3,2,3,3,"8849964"
4,4,4,2,4,"8949893"
4,5,5,5,4,"9019561"
6,6,5,5,5,"9049946"
3,2,2,2,2,"9069852"
1,1,2,2,2,"9089753"
2,2,3,3,3,"9119670"
5,5,5,5,5,"9199746"
2,2,1,2,2,"9319844"
6,6,6,4,6,"9319932"
1,1,1,1,2,"9349783"
5,5,4,4,4,"9439971"
3,2,2,2,2,"9469815"
7,11,9,6,7,"9509843"
6,6,6,7,6,"9699987"
3,3,4,3,3,"9829989"
1,2,2,1,1,"9929819"
7,7,8,8,7,"9989829"
3,3,3,3,3,"10119835"
2,2,1,2,1,"10119936"
6,4,5,4,6,"10179820"
7,10,4,8,8,"10269678"
3,3,3,3,3,"10279567"
3,3,2,2,2,"10279748"
3,3,2,3,3,"10359835"
1,1,1,1,1,"10369846"
2,3,3,3,4,"10459935"
4,4,4,4,4,"10469726"
3,4,4,3,3,"10469873"
2,2,2,2,2,"10489785"
3,3,4,3,4,"10529754"
4,4,2,3,2,"10629613"
3,3,2,2,2,"10679950"
3,3,2,3,3,"10709970"
9,6,8,7,6,"10799927"
3,2,2,2,2,"10839858"
2,2,2,1,2,"10939624"
7,7,10,7,8,"11219702"
2,2,2,3,3,"11279674"
3,3,3,3,3,"11309796"
2,2,2,2,2,"11319562"
9,11,7,9,10,"11369915"
2,2,1,2,2,"11389560"
4,4,5,5,5,"11409719"
1,2,2,1,1,"11449698"
2,2,2,2,2,"11469570"
3,3,3,3,3,"11469670"
1,1,1,1,1,"11529864"
1,1,1,1,1,"11549821"
7,10,5,9,9,"11589762"
6,11,3,4,3,"11599805"
4,3,3,3,3,"11599992"
3,4,6,7,4,"11629887"
4,4,4,4,5,"11639959"
9,6,13,9,10,"11719672"
2,2,2,2,1,"11789750"
5,4,4,5,3,"11789884"
3,3,4,3,3,"11789887"
4,4,5,5,4,"11819720"
3,3,3,3,4,"11939871"
2,1,2,2,2,"11939934"
3,2,3,4,4,"11979747"
3,3,2,2,2,"12089735"
4,3,2,2,2,"12109797"
3,3,4,1,2,"12159907"
3,3,3,3,2,"12189994"
2,2,3,2,2,"12299800"
6,6,6,9,7,"12359644"
1,1,3,3,3,"12529942"
5,5,8,8,11,"12559813"
1,2,5,3,4,"12649991"
3,3,3,3,3,"12659995"
1,1,1,1,1,"12739698"
2,2,3,3,3,"12869802"
7,5,2,4,5,"12899960"
1,1,1,1,1,"12949792"
6,5,5,6,6,"13029758"
4,10,5,6,6,"13069651"
2,2,2,2,2,"13079908"
2,8,9,7,10,"13099817"
3,3,3,12,10,"13149827"
11,13,13,13,12,"13169822"
2,3,3,3,2,"13269913"
4,3,3,3,3,"13359664"
2,2,2,2,2,"13359824"
6,5,5,7,9,"13379843"
7,8,1,2,2,"13399563"
2,2,3,2,3,"13439985"
2,2,2,2,2,"13479847"
1,1,1,5,1,"13559676"
2,2,2,2,2,"13559834"
3,2,2,2,2,"13589918"
5,4,5,5,5,"13649822"
5,4,5,4,10,"13679928"
7,6,6,6,6,"13719671"
5,6,5,7,7,"13889806"
6,2,2,2,2,"13899534"
2,2,2,3,3,"13929537"
2,2,2,1,2,"13939792"
8,5,6,4,4,"13949603"
2,1,1,1,1,"13949945"
2,2,2,2,2,"13979913"
2,3,3,2,1,"14029845"
4,3,4,4,3,"14099926"
4,4,4,4,4,"14109606"
1,1,2,2,1,"14159599"
1,1,1,1,1,"14169929"
13,14,14,15,14,"14189592"
2,2,2,2,2,"14239708"
3,3,3,3,2,"14289700"
7,5,5,7,3,"14429859"
6,9,5,6,5,"14459812"
2,3,4,2,2,"14549652"
3,3,3,3,3,"14559662"
1,1,1,1,1,"14669804"
2,3,3,3,2,"14719985"
5,12,21,3,20,"14759822"
2,2,2,2,2,"15009613"
4,3,3,3,3,"15089542"
5,5,7,5,4,"15139814"
15,18,15,15,5,"15149791"
5,4,5,5,8,"15149959"
4,4,4,4,4,"15199829"
2,2,2,2,2,"15239611"
2,2,1,1,1,"15239877"
3,4,3,3,3,"15309821"
3,3,2,2,3,"15369617"
4,4,4,3,4,"15419711"
4,4,3,3,4,"15469869"
1,1,1,1,1,"15519754"
1,1,1,1,1,"15529995"
2,2,1,3,4,"15559932"
2,5,5,5,5,"15599558"
2,1,2,2,2,"15599711"
2,2,2,2,2,"15629981"
2,2,3,2,2,"15749826"
2,3,2,3,3,"15809722"
4,2,4,4,4,"15819652"
3,3,3,3,3,"15819864"
6,7,5,20,5,"15879989"
6,6,6,7,8,"15949656"
4,4,4,6,6,"15959606"
3,2,2,2,3,"15969821"
3,3,3,3,3,"16019629"
3,3,3,3,2,"16049785"
2,2,2,5,3,"16069767"
3,3,3,3,2,"16099749"
2,3,2,3,3,"16139538"
5,5,4,5,5,"16179985"
8,9,9,9,8,"16189799"
6,6,7,6,6,"16229605"
8,6,1,1,1,"16249638"
3,2,3,3,2,"16269899"
3,3,3,3,3,"16329954"
4,4,4,4,4,"16419540"
9,8,9,10,11,"16430000"
2,2,2,2,2,"16439955"
10,18,10,9,9,"16509833"
9,9,3,9,3,"16529696"
2,3,3,3,3,"16549713"
2,3,2,2,2,"16699953"
2,3,3,3,3,"16709903"
8,6,8,9,10,"16779934"
3,3,2,4,3,"16809940"
3,3,3,4,3,"16819969"
2,3,2,2,2,"16829885"
5,3,3,4,3,"16869636"
5,4,5,4,6,"16869990"
3,3,2,4,3,"16879828"
4,3,3,2,2,"16889917"
2,2,2,2,4,"16899629"
3,3,2,2,3,"17049579"
1,1,1,1,2,"17139799"
2,2,2,2,2,"17179776"
2,2,1,2,2,"17199977"
6,5,6,5,7,"17269835"
4,4,4,4,4,"17299665"
4,5,4,4,5,"17299754"
6,3,6,6,6,"17309576"
3,3,3,3,3,"17319713"
8,4,7,9,8,"17329573"
6,3,2,3,4,"17459834"
4,3,3,3,3,"17479985"
3,3,9,6,6,"17499832"
2,3,2,3,3,"17619860"
4,4,5,2,2,"17619883"
3,2,3,3,3,"17709893"
4,5,4,4,4,"17799733"
1,1,2,1,2,"17829579"
3,3,3,3,3,"17849991"
2,2,2,4,4,"17889753"
5,5,5,6,5,"17889830"
7,6,7,6,6,"17899753"
4,4,4,4,3,"17899931"
5,5,5,5,5,"17929597"
2,2,2,2,2,"17939852"
2,3,3,3,3,"18009546"
4,4,4,4,6,"18019542"
2,2,2,2,2,"18149540"
2,2,2,2,2,"18199654"
2,1,2,1,2,"18199905"
3,2,4,3,5,"18219808"
3,2,4,3,3,"18249950"
2,1,2,2,2,"18259979"
5,4,4,4,5,"18419697"
5,6,5,4,4,"18429945"
6,6,7,6,6,"18519751"
4,4,5,5,5,"18539540"
2,2,3,2,3,"18809726"
5,5,5,6,5,"18829966"
5,5,5,5,3,"18869934"
1,2,1,2,3,"18939947"
1,1,2,2,1,"19009510"
5,5,5,5,4,"19129933"
2,1,2,1,2,"19229772"
8,7,7,5,4,"19259971"
2,3,3,2,3,"19320000"
3,3,3,3,3,"19349984"
4,3,4,4,4,"19379796"
4,3,3,2,3,"19509983"
2,2,2,4,2,"19529936"
3,4,3,1,2,"19649675"
2,2,2,2,1,"19689682"
3,2,3,2,2,"19699799"
2,3,2,2,2,"19789898"
5,5,4,5,4,"19809975"
3,3,3,3,3,"19849674"
3,3,3,2,2,"19859957"
2,2,2,2,2,"19879521"
2,2,2,2,1,"19879848"
1,1,2,1,1,"19909679"
2,2,3,3,3,"19939978"
2,2,2,2,2,"19969667"
7,7,6,8,8,"20129679"
3,3,3,2,2,"20219866"
1,2,1,5,4,"20269853"
10,10,11,13,7,"20379814"
5,6,5,5,7,"20509797"
4,4,4,4,4,"20559593"
4,3,4,5,4,"20579853"
3,3,3,3,1,"20589880"
1,1,2,1,1,"20619997"
4,4,4,4,4,"20649929"
6,5,6,2,2,"20739871"
2,3,3,2,3,"20759906"
5,6,5,5,2,"20809998"
6,1,2,2,2,"20869946"
3,3,3,3,3,"20889964"
1,1,1,1,1,"20909719"
4,4,4,4,4,"20919680"
2,2,2,3,3,"20959540"
3,2,3,3,3,"21039641"
1,1,1,1,1,"21079559"
5,2,5,6,5,"21159716"
2,1,2,1,2,"21179639"
3,3,3,3,3,"21249884"
5,1,1,1,1,"21309958"
1,1,1,1,1,"21319608"
2,2,2,2,2,"21349918"
5,3,4,4,4,"21479974"
3,3,2,3,3,"21529951"
4,4,3,3,4,"21569591"
3,4,3,3,3,"21579922"
7,4,9,10,9,"21709938"
2,2,2,2,2,"21729808"
5,1,2,1,2,"21739653"
3,4,4,2,3,"21759843"
2,1,2,1,1,"21829960"
3,3,4,3,3,"21859540"
3,2,2,1,2,"22009953"
3,2,2,2,5,"22029547"
2,2,2,2,3,"22079990"
3,3,3,3,3,"22129546"
4,4,3,4,3,"22289992"
3,3,3,2,3,"22339588"
8,9,14,9,2,"22419785"
4,4,4,5,5,"22419851"
2,2,2,2,2,"22459707"
3,3,6,3,3,"22509962"
3,3,4,3,8,"22529830"
4,3,4,5,4,"22679929"
4,4,4,4,4,"22689899"
1,2,1,1,1,"22699990"
1,1,1,1,1,"22789822"
4,2,3,2,3,"22859731"
4,4,5,4,3,"22869555"
3,3,3,3,3,"22929627"
5,4,1,12,5,"23009992"
2,2,2,2,3,"23059907"
1,2,2,2,2,"23100000"
3,2,3,3,3,"23109737"
3,4,4,4,3,"23229587"
8,8,8,8,8,"23239648"
13,11,11,12,1,"23319833"
1,1,1,1,2,"23469756"
8,7,8,4,4,"23569586"
1,1,1,1,1,"23629613"
3,3,3,3,3,"23629919"
5,6,2,2,2,"23649887"
2,2,2,2,2,"23679575"
6,6,6,7,6,"23689998"
13,11,15,13,15,"23729629"
2,1,2,3,1,"23759562"
2,2,2,1,2,"23799921"
3,3,3,3,3,"23839751"
2,2,2,2,2,"23839881"
7,6,2,2,2,"23859646"
10,6,7,7,7,"23989928"
2,2,4,3,3,"23989990"
3,4,3,3,3,"24039560"
3,4,4,3,4,"24039599"
4,5,5,4,3,"24069956"
3,3,4,4,3,"24109837"
6,11,6,4,5,"24109953"
2,2,2,2,2,"24209784"
4,2,3,3,3,"24259591"
3,3,4,3,3,"24269853"
1,1,1,1,1,"24319961"
3,2,3,2,3,"24409937"
2,1,2,1,2,"24479817"
7,6,6,7,7,"24509693"
4,5,4,3,4,"24509760"
4,4,4,4,4,"24579854"
7,6,6,6,7,"24609776"
6,6,6,8,6,"24649640"
2,4,2,1,2,"24679865"
2,2,2,2,3,"24769834"
11,12,10,12,13,"24799724"
6,6,6,6,5,"25009784"
6,6,7,7,6,"25009822"
3,2,6,5,6,"25059811"
5,5,5,5,5,"25089826"
5,5,4,3,5,"25109828"
7,6,5,5,6,"25159710"
2,2,2,1,1,"25199765"
4,4,5,4,4,"25209745"
4,3,2,1,1,"25229774"
2,2,2,2,2,"25399559"
4,4,4,4,5,"25509840"
7,8,8,8,6,"25509893"
1,1,1,1,2,"25559637"
1,1,1,1,1,"25609602"
4,5,5,5,5,"25619583"
2,2,2,2,2,"25739825"
23,26,26,26,21,"25749578"
7,7,8,7,7,"25769814"
5,5,6,5,5,"25869803"
2,2,2,2,2,"26129600"
6,3,5,5,5,"26169856"
5,5,5,4,5,"26329982"
2,2,3,3,2,"26349863"
8,6,6,8,7,"26379959"
14,7,8,8,6,"26399959"
5,4,4,4,4,"26429816"
3,3,5,2,4,"26449934"
2,2,2,2,2,"26499927"
4,3,3,4,4,"26609625"
2,2,2,2,2,"26619784"
6,5,5,5,6,"26849928"
2,2,2,2,2,"27009537"
1,1,1,1,1,"27109826"
2,3,3,3,2,"27119910"
4,4,5,3,4,"27149825"
2,3,2,2,2,"27179605"
3,2,2,3,3,"27309620"
2,2,2,2,2,"27349759"
4,4,3,5,5,"27359976"
2,2,2,2,1,"27369886"
4,3,3,3,3,"27379831"
5,5,5,6,5,"27449659"
2,2,2,2,2,"27469835"
2,3,3,7,4,"27559914"
1,2,2,2,1,"27580000"
2,3,2,2,2,"27609975"
3,3,3,3,3,"27769801"
2,3,3,3,3,"27779919"
2,2,2,2,2,"27789582"
6,1,1,1,1,"27839656"
1,2,1,1,1,"27879910"
9,10,2,4,3,"27929590"
3,3,3,3,3,"27929598"
8,8,9,8,3,"27929947"
5,4,4,4,4,"27949946"
2,2,2,1,2,"27959877"
2,2,2,2,2,"28049788"
2,2,2,4,4,"28199726"
7,5,5,5,4,"28199766"
10,8,8,5,8,"28209623"
3,4,4,5,4,"28359772"
3,4,3,4,3,"28389996"
9,5,5,4,5,"28449658"
4,5,5,5,4,"28449975"
5,5,5,5,5,"28469794"
3,3,3,3,3,"28519912"
3,4,5,4,5,"28559806"
3,3,3,2,2,"28599796"
12,13,12,4,4,"28659946"
1,1,1,1,1,"28679927"
3,2,3,2,2,"28769574"
2,4,1,5,4,"28839722"
3,3,5,5,3,"28839892"
2,2,2,2,1,"28899633"
3,3,2,3,3,"28939820"
4,5,4,1,1,"28969931"
1,1,1,1,1,"28969992"
4,3,4,3,3,"28979677"
1,1,2,2,1,"28999606"
4,4,4,4,5,"29029884"
4,4,4,4,3,"29079953"
3,2,2,2,3,"29089746"
4,4,4,5,4,"29249884"
6,5,5,6,5,"29299986"
2,2,2,2,2,"29329756"
5,5,5,6,5,"29349622"
7,5,2,2,2,"29379639"
2,2,2,2,2,"29379832"
6,5,5,6,4,"29419730"
1,3,3,3,3,"29429982"
4,5,4,5,2,"29479946"
8,7,5,7,7,"29509888"
3,4,3,4,4,"29529994"
1,1,1,2,1,"29549819"
2,2,2,4,2,"29589795"
1,2,2,2,2,"29589856"
2,2,2,2,2,"29629704"
3,3,4,3,3,"29649742"
2,1,2,2,2,"29689725"
4,3,2,2,5,"29699939"
1,1,1,1,1,"29759594"
13,11,8,11,2,"29769913"
1,1,1,1,1,"29779920"
2,1,2,2,2,"29929667"
4,4,5,3,4,"29989562"
3,3,3,3,3,"29989718"
4,4,4,5,4,"30039956"
4,4,7,10,9,"30159778"
2,2,2,2,2,"30189723"
2,4,3,5,3,"30209822"
4,4,5,4,5,"30229727"
1,2,2,1,2,"30279834"
1,1,1,1,1,"30329982"
3,3,3,3,3,"30439747"
2,2,2,2,1,"30519968"
3,3,2,3,2,"30699587"
4,4,3,5,4,"30729553"
2,2,2,2,2,"30739829"
1,2,4,3,5,"30789865"
5,5,3,6,6,"30939761"
2,2,2,2,3,"31009635"
3,7,7,7,8,"31069984"
6,5,6,6,5,"31079582"
3,3,2,3,3,"31099800"
5,4,4,5,3,"31189563"
7,5,6,7,6,"31229829"
6,6,7,6,2,"31259918"
2,3,3,3,3,"31309962"
2,2,2,2,2,"31319659"
4,1,4,5,3,"31359876"
11,8,9,8,8,"31449864"
4,2,2,3,3,"31479538"
1,1,1,1,2,"31569956"
3,3,4,2,4,"31619963"
11,13,15,9,2,"31709884"
5,5,6,5,4,"31809821"
5,6,5,5,5,"31829841"
3,3,2,3,3,"31859680"
7,7,7,6,7,"31889833"
2,3,3,3,2,"31929673"
5,5,5,5,5,"31929809"
10,10,8,10,9,"31929940"
3,4,4,3,4,"32019639"
3,2,2,3,3,"32209848"
3,4,3,3,3,"32299809"
1,1,1,1,1,"32419982"
9,7,7,4,6,"32439773"
4,2,3,3,3,"32449778"
5,5,6,4,6,"32469998"
3,2,3,3,2,"32529669"
4,4,4,3,2,"32539994"
6,5,5,5,6,"32559815"
2,2,2,3,2,"32619707"
1,1,2,1,2,"32719930"
1,1,1,1,1,"32899755"
4,4,3,3,3,"32929755"
2,2,2,2,4,"33019857"
5,5,4,7,5,"33039984"
5,5,5,5,6,"33059986"
2,2,2,2,2,"33119644"
3,2,2,2,2,"33159630"
2,3,4,3,3,"33169982"
3,3,3,3,3,"33189852"
3,3,3,3,3,"33289859"
4,3,3,3,3,"33419626"
10,3,8,8,10,"33419788"
3,3,3,2,3,"33459796"
5,4,6,5,4,"33559925"
